#target name         accession query name               accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- ------------------------ --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NW_026260995.1       -         Fungi_SRP_Agaricomycetes -          cm        1      266     6484     6215      -    no    1 0.53   0.0  240.4     7e-69 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_214, whole genome shotgun sequence
NW_026260791.1       -         Fungi_SRP_Agaricomycetes -          cm        1      266   374378   374109      -    no    1 0.54   0.0  232.8   1.4e-66 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026260794.1       -         RNase_MRP_Agaricomycetes -          cm        1      366   948803   949295      +    no    1 0.54   0.0  205.5   4.7e-56 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_13, whole genome shotgun sequence
NW_026260794.1       -         RNase_MRP_Agaricomycetes -          cm        1      366   174176   174139      -    no    1 0.50   0.0   16.2      0.23 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_13, whole genome shotgun sequence
NW_026260829.1       -         RNase_MRP_Agaricomycetes -          cm       27       63    84377    84341      -    no    1 0.38   0.0   13.4       1.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_48, whole genome shotgun sequence
NW_026260783.1       -         RNase_MRP_Agaricomycetes -          cm       22      125  1399526  1399649      +    no    1 0.54   0.0   13.1       1.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260788.1       -         RNase_MRP_Agaricomycetes -          cm        1      366  1126307  1126131      -    no    1 0.49   0.0   12.4         3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260834.1       -         RNase_MRP_Agaricomycetes -          cm        1      366   169189   169247      +    no    1 0.49   0.0   10.9       8.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_53, whole genome shotgun sequence
NW_026260787.1       -         RNaseP_nuc_Agaricomycetes -          cm        1      547  1270314  1270856      +    no    1 0.57   0.1  291.1   1.9e-81 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_6, whole genome shotgun sequence
NW_026260787.1       -         RNaseP_nuc_Agaricomycetes -          cm        1      547  1360813  1360185      -    no    1 0.55   0.0  278.3   1.1e-77 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_6, whole genome shotgun sequence
NW_026260795.1       -         RNaseP_nuc_Agaricomycetes -          cm      133      215   911293   911392      +    no    1 0.56   0.0   14.6       2.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_14, whole genome shotgun sequence
NW_026260808.1       -         RNaseP_nuc_Agaricomycetes -          cm      227      519    52918    52568      -    no    1 0.57   0.6   13.4       6.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_27, whole genome shotgun sequence
NW_026260782.1       -         TPP_Agaricomycetes   -          cm        1      162  2192753  2192590      -    no    1 0.55   0.0  122.2   1.5e-30 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260809.1       -         TPP_Agaricomycetes   -          cm        1      162   520139   520006      -    no    1 0.46   0.0   19.8      0.36 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260782.1       -         U1_Agaricomycetes    -          cm        1      167  1011064  1011231      +    no    1 0.57   0.0  179.5   4.9e-46 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260785.1       -         U1_Agaricomycetes    -          cm        1      167  1215652  1215485      -    no    1 0.60   0.0  176.3   3.9e-45 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260815.1       -         U1_Agaricomycetes    -          cm        1      167   349261   349094      -    no    1 0.58   0.0  173.6   2.2e-44 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_34, whole genome shotgun sequence
NW_026260816.1       -         U1_Agaricomycetes    -          cm        1      167   295053   294933      -    no    1 0.40   0.0   21.2      0.13 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_35, whole genome shotgun sequence
NW_026261088.1       -         U1_Agaricomycetes    -          cm        1      167    11103    10983      -    no    1 0.40   0.0   21.2      0.13 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_307, whole genome shotgun sequence
NW_026260861.1       -         U1_Agaricomycetes    -          cm        1      167    95446    95302      -    no    1 0.39   4.5   20.8      0.16 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_80, whole genome shotgun sequence
NW_026260840.1       -         U1_Agaricomycetes    -          cm        1      167    37697    37571      -    no    1 0.41   0.0   18.4       0.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_59, whole genome shotgun sequence
NW_026260883.1       -         U1_Agaricomycetes    -          cm        1      167    37779    37645      -    no    1 0.41   0.5   15.9         4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_102, whole genome shotgun sequence
NW_026260813.1       -         U1_Agaricomycetes    -          cm        1      167   424815   424949      +    no    1 0.42   2.3   15.7       4.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_32, whole genome shotgun sequence
NW_026260798.1       -         U1_Agaricomycetes    -          cm        1      167   295587   295738      +    no    1 0.50   0.0   14.9       7.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_17, whole genome shotgun sequence
NW_026261014.1       -         U1_Agaricomycetes    -          cm        1      167    25753    25619      -    no    1 0.41   0.1   14.7       8.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_233, whole genome shotgun sequence
NW_026260805.1       -         U2_Agaricomycetes    -          cm        1      188   558715   558525      -    no    1 0.54   0.0  206.6     7e-50 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_24, whole genome shotgun sequence
NW_026261153.1       -         U2_Agaricomycetes    -          cm        1      188    18472    18282      -    no    1 0.54   0.0  206.6     7e-50 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_372, whole genome shotgun sequence
NW_026260809.1       -         U2_Agaricomycetes    -          cm        1      188   176679   176489      -    no    1 0.53   0.0  206.5   7.3e-50 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
