#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NW_026260788.1       -         tRNA                 RF00005    cm        1       71  1018870  1018941      +    no    1 0.60   0.0   66.2   4.3e-13 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260788.1       -         tRNA                 RF00005    cm        1       71  1080983  1081054      +    no    1 0.60   0.0   66.2   4.3e-13 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260933.1       -         tRNA                 RF00005    cm        1       71    28409    28480      +    no    1 0.60   0.0   66.2   4.3e-13 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_152, whole genome shotgun sequence
NW_026260788.1       -         tRNA                 RF00005    cm        1       71   237534   237605      +    no    1 0.57   0.0   65.9   5.1e-13 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260789.1       -         tRNA                 RF00005    cm        1       71   148149   148077      -    no    1 0.52   0.0   63.2   2.9e-12 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_8, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71   661492   661573      +    no    1 0.55   0.0   62.0   6.4e-12 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71   764879   764798      -    no    1 0.55   0.0   62.0   6.4e-12 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260804.1       -         tRNA                 RF00005    cm        1       71   262534   262606      +    no    1 0.45   0.0   61.1   1.1e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_23, whole genome shotgun sequence
NW_026261109.1       -         tRNA                 RF00005    cm        1       71      863      791      -    no    1 0.45   0.0   61.1   1.1e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_328, whole genome shotgun sequence
NW_026260921.1       -         tRNA                 RF00005    cm        1       71    23428    23356      -    no    1 0.55   0.0   60.9   1.2e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_140, whole genome shotgun sequence
NW_026260787.1       -         tRNA                 RF00005    cm        1       71  1268979  1268908      -    no    1 0.58   0.0   60.4   1.8e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_6, whole genome shotgun sequence
NW_026260809.1       -         tRNA                 RF00005    cm        1       71   540769   540697      -    no    1 0.49   0.0   60.4   1.8e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260786.1       -         tRNA                 RF00005    cm        1       71   928282   928210      -    no    1 0.56   0.0   59.2   3.9e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260782.1       -         tRNA                 RF00005    cm        1       71   513403   513485      +    no    1 0.60   0.0   58.7   5.2e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260782.1       -         tRNA                 RF00005    cm        1       71   516055   515973      -    no    1 0.60   0.0   58.7   5.2e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260790.1       -         tRNA                 RF00005    cm        1       71   115266   115194      -    no    1 0.53   0.0   58.6   5.7e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
