#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NW_026260786.1       -         CD_10                -         hmm        6      111  1019598  1019490      -     -    6 0.51   0.0   27.7   0.00011 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260860.1       -         CD_10                -         hmm        4       30    94610    94584      -     -    6 0.37   0.0   18.6     0.079 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_79, whole genome shotgun sequence
NW_026260783.1       -         CD_11                -         hmm       12       59   732036   731989      -     -    6 0.38   0.0   16.7      0.28 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026261132.1       -         CD_11                -         hmm       12       59     1525     1478      -     -    6 0.38   0.0   16.7      0.28 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_351, whole genome shotgun sequence
NW_026260801.1       -         CD_11                -         hmm        8       49   558166   558122      -     -    6 0.40   0.0   14.7       1.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_20, whole genome shotgun sequence
NW_026260812.1       -         CD_11                -         hmm       22       63   237444   237400      -     -    6 0.38   0.0   13.1       3.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_31, whole genome shotgun sequence
NW_026260816.1       -         CD_11                -         hmm       23       88   331092   331168      +     -    6 0.40   0.0   13.1       3.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_35, whole genome shotgun sequence
NW_026260807.1       -         CD_11                -         hmm       12       65    75034    74977      -     -    6 0.43   0.0   13.0       3.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_26, whole genome shotgun sequence
NW_026260815.1       -         CD_11                -         hmm        6       49   362449   362486      +     -    6 0.39   0.0   12.8       4.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_34, whole genome shotgun sequence
NW_026260815.1       -         CD_11                -         hmm        6       50   368347   368308      -     -    6 0.38   0.0   12.8       4.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_34, whole genome shotgun sequence
NW_026260857.1       -         CD_11                -         hmm        9       67    79475    79421      -     -    6 0.45   0.0   12.8       4.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_76, whole genome shotgun sequence
NW_026260801.1       -         CD_11                -         hmm       57       97   488027   487987      -     -    6 0.37   0.1   12.7       4.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_20, whole genome shotgun sequence
NW_026260809.1       -         CD_11                -         hmm       21       89   179237   179172      -     -    6 0.44   0.4   12.6       5.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260807.1       -         CD_11                -         hmm       15       65    34741    34687      -     -    6 0.44   0.0   12.6       5.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_26, whole genome shotgun sequence
NW_026261046.1       -         CD_11                -         hmm       21       89    17923    17858      -     -    6 0.42   0.5   12.6       5.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_265, whole genome shotgun sequence
NW_026260859.1       -         CD_11                -         hmm       10       43    77745    77778      +     -    6 0.38   0.0   12.3       6.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_78, whole genome shotgun sequence
NW_026260834.1       -         CD_11                -         hmm       12       67   163743   163804      +     -    6 0.31   0.1   12.1       7.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_53, whole genome shotgun sequence
NW_026260801.1       -         CD_11                -         hmm       26       90   223742   223667      -     -    6 0.42   0.0   12.1       7.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_20, whole genome shotgun sequence
NW_026260784.1       -         CD_11                -         hmm        9       48  1488985  1488949      -     -    6 0.43   0.0   11.8       9.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_3, whole genome shotgun sequence
NW_026260791.1       -         CD_12                -         hmm        4      101    53305    53402      +     -    6 0.50   0.0   42.5   1.5e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026260783.1       -         CD_12                -         hmm        7       38   391914   391877      -     -    6 0.47   0.0   14.5      0.84 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260891.1       -         CD_12                -         hmm       19       58    13898    13932      +     -    6 0.54   0.0   12.8       2.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_110, whole genome shotgun sequence
NW_026260796.1       -         CD_12                -         hmm       10       38   439141   439196      +     -    6 0.54   0.0   12.6       3.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_15, whole genome shotgun sequence
NW_026261101.1       -         CD_12                -         hmm       10       38    12294    12349      +     -    6 0.54   0.0   12.6       3.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_320, whole genome shotgun sequence
NW_026260783.1       -         CD_13                -         hmm       41       87  1248548  1248593      +     -    6 0.35   0.0   23.7    0.0017 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260857.1       -         CD_13                -         hmm        4       89    35810    35735      -     -    6 0.33   0.1   16.8      0.24 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_76, whole genome shotgun sequence
NW_026260804.1       -         CD_13                -         hmm       45       81    19116    19083      -     -    6 0.41   0.0   15.6      0.58 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_23, whole genome shotgun sequence
NW_026260792.1       -         CD_13                -         hmm       36       87    23806    23853      +     -    6 0.38   0.0   14.3       1.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_11, whole genome shotgun sequence
NW_026260792.1       -         CD_13                -         hmm       11       88   237957   238036      +     -    6 0.45   0.0   14.1       1.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_11, whole genome shotgun sequence
NW_026260891.1       -         CD_13                -         hmm       35       85    59154    59095      -     -    6 0.38   0.0   13.8       2.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_110, whole genome shotgun sequence
NW_026260911.1       -         CD_13                -         hmm       35       85     5406     5347      -     -    6 0.38   0.0   13.8       2.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_130, whole genome shotgun sequence
NW_026260911.1       -         CD_13                -         hmm       35       85    56150    56209      +     -    6 0.38   0.0   13.8       2.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_130, whole genome shotgun sequence
NW_026260830.1       -         CD_13                -         hmm        8       89    18480    18548      +     -    6 0.35   0.1   13.7       2.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_49, whole genome shotgun sequence
NW_026261046.1       -         CD_13                -         hmm       36       76     9591     9637      +     -    6 0.38   0.0   13.3       2.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_265, whole genome shotgun sequence
NW_026260852.1       -         CD_13                -         hmm        8       54    25440    25481      +     -    6 0.33   0.1   13.2       3.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_71, whole genome shotgun sequence
NW_026260795.1       -         CD_13                -         hmm       23       83    72626    72689      +     -    6 0.34   0.1   12.1       6.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_14, whole genome shotgun sequence
NW_026260791.1       -         CD_13                -         hmm       23       83   379903   379966      +     -    6 0.36   0.0   12.0       7.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026260995.1       -         CD_13                -         hmm       23       83    12009    12072      +     -    6 0.36   0.0   12.0       7.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_214, whole genome shotgun sequence
NW_026260847.1       -         CD_13                -         hmm       23       83    18408    18471      +     -    6 0.34   0.0   11.9         8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_66, whole genome shotgun sequence
NW_026260830.1       -         CD_13                -         hmm        8       89    17546    17478      -     -    6 0.33   0.1   11.9       8.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_49, whole genome shotgun sequence
NW_026260784.1       -         CD_13                -         hmm        9       55  1104842  1104801      -     -    6 0.36   0.1   11.8       8.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_3, whole genome shotgun sequence
NW_026260793.1       -         CD_14                -         hmm       11       84   606757   606827      +     -    6 0.37   0.0   32.6   2.5e-06 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_12, whole genome shotgun sequence
NW_026260802.1       -         CD_14                -         hmm        9       80   215885   215961      +     -    6 0.32   0.2   17.1      0.17 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_21, whole genome shotgun sequence
NW_026260786.1       -         CD_14                -         hmm        8       80   162175   162098      -     -    6 0.33   0.2   16.5      0.26 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260836.1       -         CD_14                -         hmm       33       85    30829    30885      +     -    6 0.37   0.1   16.0      0.37 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_55, whole genome shotgun sequence
NW_026260946.1       -         CD_14                -         hmm        9       70     1248     1189      -     -    6 0.32   0.1   15.2      0.67 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_165, whole genome shotgun sequence
NW_026260790.1       -         CD_14                -         hmm        8       35   365319   365349      +     -    6 0.32   0.0   14.5       1.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026260782.1       -         CD_14                -         hmm       12       71   438780   438854      +     -    6 0.29   0.1   14.4       1.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260802.1       -         CD_14                -         hmm        8       35   120959   120989      +     -    6 0.35   0.0   14.3       1.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_21, whole genome shotgun sequence
NW_026260792.1       -         CD_14                -         hmm       23       49   254176   254218      +     -    6 0.30   0.1   13.6       2.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_11, whole genome shotgun sequence
NW_026260801.1       -         CD_14                -         hmm        8       83   223903   223975      +     -    6 0.37   0.1   13.4       2.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_20, whole genome shotgun sequence
NW_026260798.1       -         CD_14                -         hmm        8       73   336452   336389      -     -    6 0.34   0.2   13.2       2.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_17, whole genome shotgun sequence
NW_026260828.1       -         CD_14                -         hmm       29       69   247140   247179      +     -    6 0.38   0.0   13.1       3.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_47, whole genome shotgun sequence
NW_026260823.1       -         CD_14                -         hmm       23       59   107542   107585      +     -    6 0.32   0.1   13.0       3.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_42, whole genome shotgun sequence
NW_026260860.1       -         CD_14                -         hmm        8       43    48523    48560      +     -    6 0.34   0.6   13.0       3.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_79, whole genome shotgun sequence
NW_026260795.1       -         CD_14                -         hmm        8       70   622006   622066      +     -    6 0.36   0.1   12.9       3.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_14, whole genome shotgun sequence
NW_026260795.1       -         CD_14                -         hmm        8       62   628580   628506      -     -    6 0.43   0.0   12.9       3.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_14, whole genome shotgun sequence
NW_026260901.1       -         CD_14                -         hmm        8       72    46028    46090      +     -    6 0.38   0.2   12.6       4.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_120, whole genome shotgun sequence
NW_026261125.1       -         CD_14                -         hmm        8       35    10272    10302      +     -    6 0.32   0.1   12.6       4.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_344, whole genome shotgun sequence
NW_026260806.1       -         CD_14                -         hmm        8       69   330141   330200      +     -    6 0.37   0.1   12.4         5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_25, whole genome shotgun sequence
NW_026260827.1       -         CD_14                -         hmm        8       34   143328   143357      +     -    6 0.30   0.2   12.3       5.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_46, whole genome shotgun sequence
NW_026260797.1       -         CD_14                -         hmm        8       35   720813   720843      +     -    6 0.32   0.2   12.3       5.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260803.1       -         CD_14                -         hmm       22       74   610889   610836      -     -    6 0.41   0.1   12.1       6.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_22, whole genome shotgun sequence
NW_026260841.1       -         CD_14                -         hmm       23       48    46644    46618      -     -    6 0.44   0.1   12.0       6.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_60, whole genome shotgun sequence
NW_026261035.1       -         CD_14                -         hmm       29       59     5552     5588      +     -    6 0.27   0.1   11.8       7.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_254, whole genome shotgun sequence
NW_026261254.1       -         CD_15                -         hmm       25       53     5752     5724      -     -    6 0.55   0.0   13.5       2.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_473, whole genome shotgun sequence
NW_026260796.1       -         CD_15                -         hmm       25       53   827394   827366      -     -    6 0.55   0.0   13.4       2.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_15, whole genome shotgun sequence
NW_026260785.1       -         CD_15                -         hmm       18       87  1129836  1129773      -     -    6 0.34   0.0   13.1       3.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260878.1       -         CD_15                -         hmm       12       61    85141    85187      +     -    6 0.47   0.0   12.3       6.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_97, whole genome shotgun sequence
NW_026260786.1       -         CD_16                -         hmm        7      124   504075   503949      -     -    6 0.50   0.0   28.7   5.1e-05 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260843.1       -         CD_16                -         hmm        8       63   149204   149262      +     -    6 0.44   0.0   15.9      0.51 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_62, whole genome shotgun sequence
NW_026261047.1       -         CD_16                -         hmm        7       63     4204     4263      +     -    6 0.45   0.0   15.6      0.64 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_266, whole genome shotgun sequence
NW_026260783.1       -         CD_16                -         hmm       25       63   637673   637712      +     -    6 0.45   0.0   15.2      0.82 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260783.1       -         CD_16                -         hmm        6       63  1238715  1238767      +     -    6 0.40   0.0   14.6       1.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260783.1       -         CD_16                -         hmm       29      117  1246881  1246980      +     -    6 0.36   0.0   14.4       1.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260839.1       -         CD_16                -         hmm        7       58    22307    22254      -     -    6 0.52   0.0   13.6       2.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_58, whole genome shotgun sequence
NW_026260817.1       -         CD_16                -         hmm        5      102   290321   290217      -     -    6 0.44   0.0   13.1       3.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_36, whole genome shotgun sequence
NW_026260812.1       -         CD_16                -         hmm       17      110   479857   479765      -     -    6 0.43   0.1   12.7         5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_31, whole genome shotgun sequence
NW_026260854.1       -         CD_16                -         hmm       17      110    80615    80523      -     -    6 0.43   0.1   12.7         5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_73, whole genome shotgun sequence
NW_026260827.1       -         CD_16                -         hmm        8       66    52575    52520      -     -    6 0.34   0.1   12.4       6.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_46, whole genome shotgun sequence
NW_026260788.1       -         CD_17                -         hmm       43       87   633617   633670      +     -    6 0.48   0.0   15.8      0.53 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260784.1       -         CD_17                -         hmm       33       86    96397    96461      +     -    6 0.35   0.0   14.3       1.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_3, whole genome shotgun sequence
NW_026260788.1       -         CD_17                -         hmm       13       60   591830   591782      -     -    6 0.35   0.0   14.2       1.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260787.1       -         CD_17                -         hmm       25       58   824920   824880      -     -    6 0.44   0.0   13.8       2.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_6, whole genome shotgun sequence
NW_026261304.1       -         CD_17                -         hmm       25       48      430      401      -     -    6 0.47   0.0   12.9       4.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_523, whole genome shotgun sequence
